	text	labels
7125077	So I mean, your... your position, as I understand it, is that... that this determinant point is not necessary to satisfy the delegation doctrine, and the... and as you have just said, the question of reasonableness or capriciousness is not before us because it was never reached by the court below.	1
1929048	So in this case, there were no arguable grounds for appeal, so counsel had no duty to advise of appeal rights.	0
5475585	Yes.	1
287322	Because it is a...  it is...	1
8517819	You're--	1
6135872	So that's nice and administratively convenient.	1
486931	And what basic responsibility does that entail, would you say, the fact that the Government is a trustee?	0
8756216	[Laughter]	1
5350288	worker...	1
8681986	But you think it's basically the land encompassed in blue.	1
765297	I thought there was something in the agreement.	1
4172391	--as applied to this case.	1
6154352	[Laughter]	1
2339543	As far as as...	0
1968051	--under 1983?	0
1840285	The tax in...	1
3858661	All right.	1
3042459	And moreover, there's a crack in the canal, so that means most of the time the water that's running out is water that would be there for irrigation, and some of the time the water that runs out through the crack is water that would be... would have been released because there was too much water behind the dam and the San Joaquin River was filled up.	1
5119201	Well, Mr. Olson, isn't Section 5 sort of a safe harbor provision for states, and do you think that it gives some independent right of a candidate to overturn a Florida decision based on that section?	1
6551674	The honorable court is now adjourned until tomorrow at ten o'clock.	1
706315	And we're going to have to take every State case subject to fact determinations made by the State courts, and that's going to limit the application of this conceivable rational basis test.	1
1609236	I...  I respectfully submit that it is, that the students in the Rosenberger that were publishing those articles were publishing articles that advocated belief in God.	1
8299765	--I think to paint the picture that we're talking about, just pure speech is... is not the case.	1
6192454	case.	1
3777323	But in part, it seems to me that there are many indicia of punishment here as well.	1
2841136	And I I would not disagree with that.	1
3976103	But this--	1
3410617	[Laughter]	1
189305	That reference to jurisdiction thereof has to mean jurisdiction to enter judgment on an arbitration award.	1
6330486	Yes.	1
9075090	--shaved your beard or something.	1
3316923	Defendant and his counsel say okay.	1
3199195	Now, is...	1
8917845	Yes.	1
952423	The honorable court is now adjourned until tomorrow at 10 o'clock.	1
9126070	Would you say generally do not apply?	1
634833	Also, I found that portion of the transcript where the defendant was advised of the sentence.	0
521435	Well, the court had three different opportunities to take up Mr. Fiore's case presumably.	0
276925	I guess that isn't...	0
5301509	--and trial counsel was able to explain to the trial court the basis of its decision, and from trial counsel's explanation, one could determine that it wasn't based on a strategic rationale, but instead was based simply on a misunderstanding of the time, of the timeliness of the rejection rule that was at issue.	1
7474259	Number tw--	1
620275	But it would probably be even better if we set it at zero.	1
9140756	What we... what we know is that 19 States... it was 20 at the time we filed our brief, but it's now 19, follow the cause in prejudice approach and require the raising of ineffectiveness claims on direct appeal, and there's at least a significant number of States that don't require the raising of ineffectiveness claims on direct appeal, but it's unclear whether there's more than 20, and so we don't know exactly whether it's a majority or not, but... but there at least are a significant number that apply procedural default principles to the raising of claims on direct appeal, and that's--	1
8636829	But the claims that he brought were constitutional claims, so one could surely read this subsection (c) of section 2253 to mean that even if you could surmount the procedural hurdle of adequate, independent State grounds, still you don't get a certificate of appealability unless you show that you had made a claim about what went on in the State criminal proceedings of the denial of a constitutional right.	1
4629858	But are we talking about actions that constitute the commission of some kind of criminal offense in the process?	1
3878124	Mr. Minnis, the picture here is that a tribe selects out a certain form contract to present to the other side.	1
2983083	If money is made available for individuals in the Medicare program to exclude people that want to go to religious hospitals for their heart surgery, that would violate the Free Exercise Clause.	1
7145241	Well, are you... I take it that all you really want us to do here is to say that the Ninth Circuit test, not-wholly-unrelated test, either is a matter of substance or is a matter of creating a presumption in applying the James test, went beyond James, and that we ought to reverse or vacate because that erroneous standard was applied, and I take it that you don't really need to have us or want us necessarily to do anything more at this stage except send it back and say, apply James the way we wrote James, and then if you don't like it later, maybe there'll be another appeal, but am I right that that's all you really want us to do, is to say that not-wholly-unrelated goes beyond James?	1
2252493	There's no evidence that they intended this scheme to be advisory.	1
6033329	Just write the check to the party, and I'll keep a tally, and so do they.	1
1286959	Does that have a bearing on this?	0
8192509	He could not say that with respect to the areas covered by the agreement.	1
8312456	objecting to a distinction between classes of...	1
4300220	teacher recording and making...	1
3417120	So, what is your answer to that?	1
1184854	But in Whren, the stated reason for the stop, traffic enforcement, was lawful, and we didn't have to look any further.	0
7875366	--Kennedy gave you, why isn't that covered by the QDRO section--	1
5444274	[Laughter]	1
7263654	There was a form five that was verified.	1
801899	That's not...	1
2153619	Mr. Wallace, I... do you agree that under the board's rule here that it does allow the board to find the unfair labor practice and impose the sanctions on litigation brought by employers that is not limited to just shams and abuse of process?	1
6492529	Let... let me talk about what we have before us here for just a minute.	1
531430	prison situation.	1
9399021	Thank you, Mr. Roberts.	1
4771876	[Laughter]	1
1758785	Yes.	1
4131845	that they weren't...	1
5711614	Well--	1
1714240	Do you think there's a difference at all in application of such a policy to commercial entities and groups, as opposed to private membership groups?	1
4750683	There are three different kinds of funding programs going on?	1
6315520	So Mr. Phillips was right, then, in his statement to me that there had been no technological change during that period of time.	1
6232775	no limit on what they can do here.	1
4763929	That we can let you do after the thirty days.	1
2698662	I don't understand--	1
1803562	If, in fact, you go beyond the -- the -- the traffic stop even measurably beyond it, then you have violated the -- the -- the driver's rights, and it is unconstitutional.	0
1868840	and coming back and...	1
8510923	properly, sir.	1
1802311	shops.	0
793533	Whose interests are we looking at, those of the contributor or those of the candidate, or both?	0
6540447	Thank you, Mr. Jones.	1
5279329	impairment --	1
4308378	change?	1
176801	It sure is.	0
1599329	Let... let me talk about what we have before us here for just a minute.	1
271892	--or not?	0
8177386	I mean, that's...  that's as old as the country itself, isn't it?	1
9057979	long...	1
1547343	Yes.	1
2047686	Well, actually, there is no evidence in the record on whether the individual employees were audited or not.	0
596563	Well, we're talking here about fruits, the location of the gun and the gun.	1
5147805	As I understand, the riverboats wouldn't make money either if they didn't have the slot machines.	1
4943341	You mentioned, or Justice Kennedy earlier mentioned some problems that the trier of fact would have.	1
2950803	which they might prefer to do.	1
2359590	It--	0
5572321	What are the factors in Missouri that the State would be trying to prove to urge the imposition of death versus life imprisonment?	1
602845	--Unless the pondering is to avoid the diligence, and that would be the question.	0
8770848	home searches...	1
9603673	which they might prefer to do.	1
4113591	The Congress then was giving away public lands and was giving away public minerals.	1
1492737	--No, I'm sorry.	1
2397063	And so we think that if the officer is able to do a dog sniff within a reasonable time, and still is reasonably diligent with respect to the traffic stop violation, it ought to be constitutionally permissible.	0
4374339	The... the statute says, pursuant to the Equal Protection Clause.	1
4333374	--the wages?	1
9334080	If it doesn't, then it seems that we would have to look to Erie and to Hannah.	1
4459813	So the fact that they may not have been able to prove the precise predicate, which is the modeling predicate for the computation of money damages now, doesn't prove that they shouldn't have sued earlier.	1
8045279	But presumably for the hotels that are not on fee land, at least, they are not... the guests are not paying a state tax or a county tax.	1
923668	We were assuming that the parties spending money on gun control advertising, after consulting with the candidate about that, is not a coordinated expense, so the party would be able to do it.	1
5643158	Counsel, would you mind telling us why it matters which rule is followed by a State, resource for first or income first, not just in an individual case, but overall? Who who saves what in terms of money if you do one thing or the other?	1
1451618	Is that a jurisdictional defect or is it not?	1
1597261	Well, do you think that on the facts of this particular case there might be some necessity to go back and review them?	0
2842883	That wouldn't do it?	1
1810877	Weren't... weren't there some other questions here, like didn't we grant cert on three questions--	1
44620	Why?	1
3394482	before the grand jury.	1
2150761	Is that right?	1
7249428	It is...  it is derivatively obtained information.	1
6568789	Are they appointed or elected?	1
1457303	Okay.	1
1262652	Isn't that the end of the delegation issue?	1
263883	re-offend.	1
9050079	The honorable court is now adjourned until Monday next at 10 o'clock.	1
1157302	He felt... the district court said only that Agent Cantu felt the bag, so we really don't know what's involved, more than the passenger shoving it around situation.	0
544666	And the magistrate had a question as to the credibility of this witness, and if you have a question as to the credibility of the witness then there is not sufficient facts to able to make a determination as to whether in fact there is probable cause.	0
5541907	The two dates, or the findings with respect to the two dates struck me as being at least possibly in tension.	1
8007080	Thank you, Mr. Bell.	1
5043200	How could Colorado have known about prejudgment interest in an interstate compact dispute?	1
1701607	Codify what?	1
8428239	Yes, but he gets a 15-percent override or something like that, doesn't he?	1
9580314	Well, what if the arresting officer just doesn't give a reason for the arrest, just makes the arrest, and it turns out, at the end of the day, that indeed there were objective facts that would have justified an arrest.	1
8139063	There's one thing on the question of how far the compound interest could compound that I don't understand, and I was... I want to ask the other side the same question, but maybe you can explain it.	1
117895	Yes, and wouldn't that routinely show up something like this, or--	0
1239227	--I would have thought it was fairly fundamental under due process that you have to have a complaint that names the party, and serve the party with process.	1
6254057	These petitioners are not part of the agreement?	1
5437060	require...	1
408514	They're suspicious.	1
87204	Is the claim a First Amendment claim or what?	1
5803058	In other words, reasonable probability.	1
1773255	--The courts -- courts asserted--	0
32683	Is that not before us?	0
1902519	Well--	0
2303374	And -- and I -- I think we --	0
1752180	Then there's no more justification.	0
4132375	Is it still coal under your theory?	1
2014122	I don't have the exact --	1
1107918	You haven't interrupted anybody.	1
9189300	quintessential...	1
323981	But then... then you might--	1
1570964	I...	0
5659534	--Yes.	1
6976217	Amendment rule in the prison system...	1
3146697	That seems to be--	1
5264041	Well, Mr. Roberts.	1
1953924	Why don't we assume that, as a fact.	1
494351	What if--	0
8992230	been m- making these assessments, please,	1
72762	Well, certainly in the civil-case context, generally, the interpretation has been pretty broad.	1
7767684	Correct.	1
5980378	The people that depend...  that aren't the Warren Buffetts, that depend upon the integrity of the system, are the ones that are going to be most vulnerable if the Eleventh Circuit decision is upheld.	1
1200311	I mean, where does that come from?	0
1846962	That can be waived.	0
1878981	Well, let me--	0
8174260	There was no provision for a hearing in effect at the time this case arose?	1
6587895	Were these findings by Congress?	1
34425	Surely that's not right.	1
2328370	I'm asking you how we determine what is a reasonable time.	0
9488213	anything less...	1
417735	I mean, that was an important governmental interest.	1
7588037	--you do agree, do you not, that the Government does not agree with you on this point?	1
903420	the reverse...	1
7789461	Has that been determined...	1
5685926	because you didn't sign it, right?	1
6546742	Well, that could be the case, but I still have my question, if there are other examples...	1
4333828	States de-	1
1469063	If a challenge is brought to the use of lethal injection as a method of execution, how must that be brought?	0
536031	But why?	1
1564999	Well, and that has a textual support in the constitutional language itself.	0
3612902	I mean, people from Kansas never go to Colorado?	1
2870106	correct.	1
286727	Would you mind explaining to us how these two cases relate?	0
4976511	speculate. We...	1
2738251	That's what I want to know.	1
1732874	Has that happened--	0
9047171	Yes.	1
8077360	And sometimes if the safety risk is minimal but the effectiveness is great, I understood at least, that could affect the decisions.	1
6713623	discussing. Th-	1
551216	Is that not the kind of thing that courts have looked at and determined whether that's a valid public policy or not?	0
155964	Correct, Your Honor.	0
4523797	--I would think that the latter means, even if it becomes final in some other fashion.	1
7536789	The indications are it's not.	1
1747916	[Laughter]	1
683053	tips on there.	1
2221676	--No, that's -- no.	0
6893644	on the credit card...	1
4728457	Now, there is an ongoing 1983 class action, is there, covering this very facility?	1
5726166	Thank you.	1
5117585	think it is.	1
8333395	It's not as if...	1
946019	Well, what about the protection of crime victims?	0
708647	And you don't prevent them from...	1
2524502	Well, Ms. Brinkmann, th-	1
5281138	Was that, in effect, pure in Nevada?	1
2535795	Well, if there are 35 buildings on the premises, how many did the Government use since 1960?	1
4260240	[Laughter]	1
7332474	inconsistencies.	1
9545845	That is, suppose somebody is a pickpocket and you have a list and say, pickpockets have to register, the same thing as here.	1
5913595	Is the effects test used to impeach the finding that the legislature had a regulatory intent?	1
4407535	May I ask, under the Second Circuit rule, if the defendant is represented by the Public Defender's Office in the trial court, and then on appeal, the Public Defender's Office continues to represent him but by a different lawyer, they have different... does that... is that a different lawyer within the meaning of the Second Circuit rule, or is it the same lawyer?	1
1570155	Yes, right.	1
8817422	And that's similar to the kind of interpretation the Court had to face in Edelman, isn't it?	1
9400517	I... I don't know that viewing it through the lens of a constructive discharge is helpful.	1
1731292	--Well, so that makes the officer's sequencing decision entirely dispositive of whether the dog sniff can occur.	0
1972479	But it's very--	0
2345145	under under manual tasks?	1
2127988	Is that the context in which we've articulated that rule?	0
7356944	at the...	1
7479105	Is it the commerce clause?	1
3612422	So that this rule, to the extent that it requires a full-time employee, does apply to private schools as well.	1
2282340	If it's a failure to test, if it's a... a design defect requirement, if it's an off-labeled, false misrepresentation, why are they preempted?	1
4234013	But that can't be the whole rule.	1
645016	section...	1
1894812	--Well, so that makes the officer's sequencing decision entirely dispositive of whether the dog sniff can occur.	0
1183757	as the cause.	1
5625903	--as... as applied section 1738.	1
6383347	and when the least say...	1
1690924	I mean, Congress spoke pretty clearly there.	0
8842550	spouse...	1
6361436	Doesn't this statutory language leave that open?	1
1887097	Mr.... Mr. Kolbo, as a preliminary matter, would you address the question of whether the named plaintiff Patrick Hamacher has standing in this case.	0
1854129	Well, if we look at the language of the statute dealing with the final decision, we look at the fact that it was a dismissal, so we say, okay, there's jurisdiction.	0
9303644	don't...	1
912142	Well, that might affect the decision of whether they are seamen covered under the Jones Act.	0
3153751	Where do we go to read about this development in technology from 1909 to 1920?	1
5912474	Uh-huh.	1
